toxicity_score,comment_text
0.924899,I WILL BURN YOU TO HELL IF YOU REVOKE MY TALK .
0.87787,No he is an arrogant self serving immature idi.
0.718943,Arabs are committing genocide in Iraq but no
0.572199,How dare you vandalize that page about the HMS
0.571686,WHAT THE HELL    Justin
0.519808,This is just bizarre Ani Medjools abuse of wik
0.457611,Confusion upon Globus   Shouldnt we menti.
0.457547,The specific page linked to is just junk in re
0.457482,Jews are not a race because you ca
0.45703,Buffoon Synonyms    bozo buffo clown comedian
